id,Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,PosSent,NegSent,CompoundSent,Repetitiveness,SpotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
581,17,teenage dream,katy perry,2010,120,368,True,0.131,0.09,0.9408,0.674,55qBw1900pZKfXJ6Q9A2Lc,0.719,0.804,10,-4.581,1,0.0355,0.0132,3.02e-06,0.139,0.605,119.999,227760
582,28,your love is my drug,keha,2010,127,369,True,0.471,0.055,0.9998,0.656,unknown,,,,,,,,,,,,
583,15,rude boy,rihanna,2010,97,589,True,0.299,0.085,0.9994,0.835,60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0.127,0.113,0.0,0.0788,0.812,173.906,222920
584,14,in my head,"jason der""ulo",2010,96,366,True,0.116,0.094,0.9136,0.738,unknown,,,,,,,,,,,,
585,13,bedrock,young money featuring lloyd,2010,279,849,False,0.165,0.077,0.9979,0.671,3iL2l5gUqyPS6vDwJFgJTR,0.732,0.659,8,-6.089,1,0.225,0.109,0.0,0.141,0.575,148.001,288133
586,12,i like it,enrique iglesias featuring pitbull,2010,166,506,True,0.281,0.115,0.9988,0.672,unknown,,,,,,,,,,,,
587,11,nothin on you,bob featuring bruno mars,2010,195,717,True,0.063,0.272,-0.9995,0.728,unknown,,,,,,,,,,,,
588,10,break your heart,taio cruz featuring ludacris,2010,129,420,True,0.06,0.126,-0.9833,0.693,1CdqVF1ywD0ZO1zXtB9yWa,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05,186267
589,9,dynamite,taio cruz,2010,89,363,True,0.145,0.0,0.9922,0.755,1DqdF42leyFIzqNDv9CjId,0.754,0.804,4,-3.177,1,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867
590,16,telephone,lady gaga featuring beyonce,2010,145,588,True,0.107,0.109,-0.7266,0.753,1IaYWv32nFFMdljBIjMY5T,0.827,0.821,3,-5.864,1,0.0419,0.00748,0.0015,0.115,0.684,122.017,220627
591,7,love the way you lie,eminem featuring rihanna,2010,273,720,True,0.195,0.171,0.9796,0.621,15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,263373
592,38,carry out,timbaland featuring justin timberlake,2010,141,679,True,0.156,0.022,0.997,0.792,2DHc2e5bBn4UzY0ENVFrUl,0.478,0.569,10,-6.764,0,0.148,0.117,0.0669,0.248,0.259,95.988,232467
593,5,omg,usher featuring william,2010,118,494,False,0.241,0.007,0.9991,0.761,1bM50INir8voAkVoKuvEUI,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,269493
594,4,california gurls,katy perry featuring snoop dogg,2010,178,394,True,0.2,0.047,0.9969,0.548,6tS3XVuOyu10897O3ae7bi,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,234653
595,3,hey soul sister,train,2010,120,280,True,0.103,0.037,0.9376,0.571,unknown,,,,,,,,,,,,
596,2,need you now,lady antebellum,2010,78,212,True,0.076,0.071,-0.2526,0.632,11EX5yhxr9Ihl3IN1asrfK,0.587,0.622,4,-5.535,1,0.0303,0.0927,0.000636,0.2,0.231,107.943,277573
597,1,tik tok,keha,2010,150,407,False,0.116,0.112,0.6905,0.631,unknown,,,,,,,,,,,,
598,100,never say never,the fray,2009,67,217,True,0.056,0.031,0.6908,0.691,57uX2vR9j9DNiANDYfXw1i,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,256613
599,99,pretty wings,maxwell,2009,111,278,True,0.45,0.069,0.9995,0.601,22NLm3IIR9NLG0cUYtmHMW,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07e-06,0.0886,0.2,115.561,310520
600,6,airplanes,bob featuring hayley williams,2010,160,502,True,0.244,0.062,0.9986,0.681,6lV2MSQmRIkycDScNtrBXO,0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480
601,97,say hey i love you,michael franti  spearhead featuring cherine anderson,2009,118,550,False,0.327,0.032,0.9997,0.785,unknown,,,,,,,,,,,,
602,96,goodbye,kristinia debarge,2009,108,358,True,0.025,0.072,-0.9433,0.698,unknown,,,,,,,,,,,,
603,95,already gone,kelly clarkson,2009,108,315,True,0.128,0.152,0.8029,0.657,7ceIquYtiTYlgSSm7PqUf9,0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,281560
604,94,whatever it is,zac brown band,2009,120,325,True,0.167,0.012,0.9947,0.631,4o8STNAL91xc7EvuvqSKk1,0.686,0.576,1,-6.632,1,0.0284,0.443,1.7e-05,0.212,0.72,83.971,208213
605,93,people are crazy,billy currington,2009,132,240,True,0.221,0.129,0.9856,0.45,1zAuQNau1L8ItdjYhxeAeq,0.657,0.714,5,-4.986,1,0.0265,0.229,0.000744,0.127,0.361,141.969,232053
606,92,green light,john legend featuring andre 3000,2009,185,603,True,0.196,0.044,0.9985,0.693,72by3Re4C3eVEBXvsUo0zV,0.622,0.882,9,-5.59,0,0.119,0.0912,0.0,0.216,0.762,77.506,284187
607,91,i do not hook up,kelly clarkson,2009,126,323,True,0.173,0.133,0.9543,0.61,2I5CPUnMIKjEXeg61OI9uV,0.502,0.938,9,-3.114,1,0.13,0.00098,0.0,0.318,0.35,144.077,200347
608,90,i run to you,lady antebellum,2009,68,225,True,0.074,0.121,-0.8957,0.698,2YVCkTYJpv5jelYrHYoEG8,0.656,0.786,3,-4.451,1,0.034,0.163,5.99e-05,0.124,0.378,113.963,256013
609,89,one time,justin bieber,2009,101,465,True,0.278,0.039,0.9993,0.783,6eDApnV9Jdb1nYahOlbbUh,0.707,0.833,1,-2.553,0,0.0359,0.0808,4.42e-05,0.0778,0.734,145.997,215867
610,88,forever,drake featuring kanye west lil wayne and eminem,2009,395,1050,True,0.115,0.163,-0.9985,0.624,6HSqyfGnsHYw9MmIpa9zlZ,0.544,0.92,5,-1.474,0,0.277,0.244,0.0,0.19,0.519,105.307,357347
611,87,3,britney spears,2009,94,348,True,0.125,0.024,0.9893,0.73,unknown,,,,,,,,,,,,
612,98,pop champagne,jim jones featuring ron browz and juelz santana,2009,224,678,True,0.118,0.079,0.9418,0.67,5lrOsw7J8R7shum7A4j36t,0.61,0.431,0,-6.73,1,0.294,0.03,0.0,0.099,0.463,136.878,215973
613,85,her diamonds,rob thomas,2009,113,450,True,0.181,0.135,0.9636,0.749,3LtwmK1OfN0dGs9jf3qSjn,0.555,0.924,7,-4.93,1,0.0604,0.0159,0.0,0.075,0.865,87.606,280000
614,84,then,brad paisley,2009,110,269,True,0.205,0.025,0.9953,0.591,3XKbdb9GB6u3hsnUklQTav,0.493,0.643,0,-5.19,1,0.0299,0.512,2.42e-05,0.209,0.3,144.717,321640
615,83,replay,iyaz,2009,132,487,True,0.182,0.051,0.997,0.729,5vlEg2fT4cFWAqU5QptIpQ,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,182307
616,82,diva,beyonce,2009,153,606,True,0.054,0.02,0.922,0.748,unknown,,,,,,,,,,,,
617,81,chicken fried,zac brown band,2009,130,358,True,0.273,0.018,0.9989,0.637,4dGJf1SER1T6ooX46vwzRB,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,238147
618,80,rockin that thang,thedream,2009,,,,,,,,unknown,,,,,,,,,,,,
619,79,turn my swag on,soulja boy tell em,2009,97,327,True,0.127,0.028,0.9769,0.703,6ATrsVaZT7XjkCynxM8cTS,0.468,0.673,11,-3.045,1,0.0311,0.00111,0.0,0.41,0.409,150.093,206333
620,78,21 guns,green day,2009,110,248,False,0.055,0.132,-0.969,0.556,64yrDBpcdwEdNY9loyEGbX,0.268,0.742,5,-4.939,1,0.0355,0.0518,0.0,0.626,0.416,159.779,321093
621,77,disturbia,rihanna,2009,122,478,True,0.068,0.081,-0.5674,0.745,2VOomzT6VavJOGBeySqaMc,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,238627
622,76,white horse,taylor swift,2009,133,300,True,0.066,0.044,0.8159,0.557,6wn61Fzx9XMxQmieLpoIhW,0.578,0.34,0,-8.027,1,0.0264,0.305,0.0,0.104,0.223,92.702,234427
623,75,big green tractor,jason aldean,2009,122,359,True,0.065,0.071,-0.731,0.66,4KAzYqfcijCSZa2P3etHoM,0.623,0.59,4,-5.014,1,0.028,0.646,0.0,0.295,0.579,137.071,204200
624,86,how do you sleep,jesse mccartney featuring ludacris,2009,117,482,True,0.102,0.088,0.8316,0.757,3jkdQNkDTxxXtjSO4l0o1H,0.749,0.872,8,-3.461,1,0.0292,0.354,0.0,0.0898,0.536,105.994,208333
625,73,i love college,asher roth,2009,194,553,True,0.263,0.067,0.9992,0.649,1akgiRM3mN2nxu2AX6ACCW,0.708,0.815,8,-4.044,1,0.25,0.107,0.0,0.326,0.657,86.493,241933
626,8,bad romance,lady gaga,2010,95,473,True,0.283,0.269,-0.9779,0.799,5P5cGNzqh6A353N3ShDK6Y,0.697,0.921,0,-3.75,1,0.0391,0.00305,3.65e-05,0.0831,0.721,118.99,294573
627,71,throw it in the bag,fabolous featuring thedream,2009,195,641,True,0.059,0.035,0.9149,0.696,6c0GmyBsE7mQtrVvxJaWc3,0.852,0.559,11,-7.441,0,0.0376,0.165,0.0,0.0761,0.673,86.018,231573
628,70,if today was your last day,nickelback,2009,134,351,True,0.152,0.067,0.9827,0.618,4QJLKU75Rg4558f4LbDBRi,0.485,0.911,3,-5.749,1,0.0355,8.67e-05,0.0,0.092,0.568,89.956,249067
629,69,untouched,the veronicas,2009,125,463,True,0.051,0.081,-0.9485,0.73,0KlahhzNb98zyN83Vwae0l,0.557,0.783,6,-4.893,0,0.234,0.0171,0.0172,0.151,0.442,177.008,255360
630,72,love drunk,boys like girls,2009,114,352,True,0.232,0.187,0.986,0.676,20X9OeC606XNwEtDBOym5u,0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,226707
631,67,every girl,young money,2009,290,906,True,0.203,0.169,0.9608,0.68,6klZDCEsQzMELAPyovvpUw,0.632,0.73,6,-5.895,0,0.245,0.00316,0.0,0.397,0.762,76.067,315320
632,66,sweet dreams,beyonce,2009,120,409,False,0.281,0.046,0.9986,0.707,2wz5weI4PREzpexKfrKgwv,0.656,0.956,11,-5.647,0,0.0536,0.0784,0.0247,0.0923,0.831,133.713,204587
633,68,fallin for you,colbie caillat,2009,90,347,True,0.063,0.079,-0.9121,0.741,unknown,,,,,,,,,,,,
634,64,she wolf,shakira,2009,139,304,True,0.119,0.103,0.8508,0.543,4cS2HQ6jK80vqdY9ofpztx,0.865,0.69,7,-7.448,1,0.0444,0.289,0.0138,0.225,0.868,121.983,188867
635,63,no surprise,daughtry,2009,142,361,True,0.215,0.108,0.9932,0.607,6q4XLE5WeOBWftoc9gTl2P,0.508,0.823,3,-3.711,1,0.031,0.00741,0.0,0.104,0.152,95.98,270640
636,62,empire state of mind,jayz and alicia keys,2009,299,652,False,0.142,0.062,0.9962,0.541,5sra5UY6sD658OabHL3QtI,0.479,0.368,6,-7.784,1,0.0341,0.739,4.1e-05,0.118,0.142,92.959,216480
637,61,new divide,linkin park,2009,94,238,True,0.121,0.123,-0.6729,0.605,6Wx88Mv6b9ofjKMKkdwOJd,0.493,0.808,5,-3.365,0,0.0362,0.000235,0.0,0.0983,0.38,117.971,268613
638,60,fireflies,owl city,2009,135,326,True,0.122,0.081,0.9625,0.586,3DamFFqW32WihKkTVlwTYQ,0.591,0.649,3,-6.72,1,0.0417,0.0294,0.0,0.133,0.489,90.002,228347
639,59,miss independent,neyo,2009,123,381,True,0.311,0.079,0.9989,0.677,2CZi8d774dBB0wiuWMIpr8,0.655,0.623,11,-6.302,0,0.116,0.0861,0.000346,0.0652,0.615,175.973,214787
640,58,sugar,flo rida featuring wynter gordon,2009,178,596,True,0.288,0.017,0.9995,0.701,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
641,57,battlefield,jordin sparks,2009,119,448,True,0.214,0.194,0.9506,0.734,1Nme6K1PYAh7p7uygyuRdf,0.613,0.634,2,-3.472,1,0.0339,0.0178,0.0,0.0719,0.37,144.953,241348
642,56,right now na na na,akon,2009,112,537,False,0.212,0.036,0.9984,0.791,unknown,,,,,,,,,,,,
643,55,viva la vida,coldplay,2009,159,326,True,0.034,0.064,-0.8955,0.512,1mea3bSkSGXuIRvnydlB5b,0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31e-06,0.109,0.416,138.017,242373
644,54,beautiful,akon featuring colby odonis and kardinal offishall,2009,167,535,True,0.346,0.104,0.9996,0.688,unknown,,,,,,,,,,,,
645,53,paparazzi,lady gaga,2009,114,279,True,0.229,0.157,0.9837,0.591,16Me2jlMlTX4xsps2j71mC,0.755,0.688,8,-3.97,1,0.0535,0.0947,0.0,0.0852,0.429,114.928,208307
646,52,please dont leave me,pink,2009,97,253,True,0.12,0.153,-0.952,0.617,unknown,,,,,,,,,,,,
647,51,gotta be somebody,nickelback,2009,110,393,True,0.181,0.063,0.9942,0.72,06T10fEzN8ZCcqzQZYA184,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,252653
648,50,i hate this part,pussycat dolls,2009,121,355,True,0.05,0.177,-0.9957,0.659,4mYd9FQyU5eekDJyVeIRgS,0.746,0.61,5,-4.236,1,0.033,0.0783,0.0,0.251,0.529,111.567,218387
649,65,break up,mario featuring gucci mane and sean garrett,2009,182,679,True,0.288,0.067,0.9997,0.732,4UP5HP7IAnNdxD01g1lzQp,0.44,0.517,0,-7.355,1,0.363,0.428,0.0,0.173,0.475,73.881,249027
650,48,if i were a boy,beyonce,2009,118,296,True,0.093,0.076,0.6101,0.601,unknown,,,,,,,,,,,,
651,74,if u seek amy,britney spears,2009,119,576,False,0.08,0.1,-0.9803,0.793,2hdy9Wt9qp7M7d0U3ossu2,0.717,0.587,4,-7.296,0,0.0339,0.0192,0.0,0.0523,0.544,129.954,216520
652,46,hotel room service,pitbull,2009,126,479,False,0.143,0.055,0.9925,0.737,6Rb0ptOEjBjPPQUlQtQGbL,0.851,0.629,1,-8.385,1,0.175,0.00705,0.000372,0.0746,0.789,125.984,237640
653,45,so what,pink,2009,111,433,True,0.075,0.087,0.2629,0.744,0Uc706myy6Th7I6KQ9xA1x,0.931,0.486,6,-10.558,1,0.139,0.0579,0.0,0.161,0.896,120.026,216000
654,44,love lockdown,kanye west,2009,121,388,True,0.254,0.214,0.9925,0.688,1kxeWHF9PrCVZHvVskv8lg,0.756,0.529,1,-7.659,0,0.0329,0.0539,0.392,0.112,0.123,119.573,270307
655,43,good girls go bad,cobra starship featuring leighton meester,2009,90,350,True,0.302,0.175,0.9963,0.743,7kMfu3KUydmrFVGEAhjtyl,0.594,0.874,0,-3.716,1,0.0815,0.0116,0.0,0.549,0.628,119.964,196413
656,42,mad,neyo,2009,127,444,True,0.069,0.286,-0.9989,0.714,unknown,,,,,,,,,,,,
657,41,obsessed,mariah carey,2009,146,543,True,0.049,0.204,-0.9985,0.731,3IcIIZMMS7UArJJPtEHXG8,0.742,0.471,1,-5.513,1,0.0695,0.0517,0.0,0.862,0.384,86.467,242200
658,40,whatever you like,ti,2009,146,627,True,0.201,0.042,0.998,0.767,3B2GbTINL8132lNCcLwz64,0.667,0.515,9,-11.827,0,0.323,0.0508,0.0,0.324,0.41,77.194,228780
659,39,womanizer,britney spears,2009,124,541,True,0.087,0.068,0.9477,0.771,4fixebDZAVToLbUCuEloa2,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,0.235,139.0,224400
660,38,sober,pink,2009,129,326,True,0.208,0.136,0.9876,0.604,unknown,,,,,,,,,,,,
661,37,birthday sex,jeremih,2009,161,469,True,0.177,0.014,0.998,0.657,4NpDZPwSXmL0cCTaJuVrCw,0.675,0.545,7,-5.614,0,0.0443,0.261,0.0,0.162,0.445,60.048,226507
662,36,waking up in vegas,katy perry,2009,102,291,True,0.04,0.124,-0.9705,0.649,6fvxos1qSHrIgOkKw4dhWS,0.524,0.878,5,-3.108,0,0.0346,0.0012,0.0,0.098,0.59,130.989,199187
663,35,lovegame,lady gaga,2009,104,523,False,0.49,0.053,0.9999,0.801,5c0Wgs68kjgViFCVDGLB2I,0.892,0.649,6,-5.644,0,0.0652,0.00587,1.3e-06,0.323,0.85,105.041,216333
664,34,whatcha say,jason derulo,2009,110,412,True,0.176,0.055,0.9953,0.733,67T6l4q3zVjC5nZZPXByU8,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,221253
665,33,fire burning,sean kingston,2009,132,503,True,0.101,0.18,-0.9909,0.738,2oENJa1T33GJ0w8dC167G4,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973,239987
666,32,let it rock,kevin rudolf featuring lil wayne,2009,164,424,True,0.137,0.144,-0.7349,0.613,6TrNRd98WksT9Kkmx9uj6R,0.607,0.781,7,-4.276,1,0.0407,0.00106,0.0,0.0769,0.482,113.183,231173
667,31,run this town,jayz featuring rihanna and kanye west,2009,291,702,True,0.095,0.076,0.8384,0.585,unknown,,,,,,,,,,,,
668,30,dont trust me,3oh3,2009,124,432,False,0.439,0.007,0.9998,0.713,unknown,,,,,,,,,,,,
669,29,party in the usa,miley cyrus,2009,131,420,True,0.219,0.038,0.9971,0.688,unknown,,,,,,,,,,,,
670,28,day n nite,kid cudi,2009,131,378,False,0.19,0.138,0.9852,0.653,unknown,,,,,,,,,,,,
671,27,circus,britney spears,2009,101,414,True,0.078,0.13,-0.8223,0.756,7jk7gqyEonmVVYahZN5zhW,0.791,0.733,6,-5.215,0,0.052,0.147,0.000381,0.0713,0.761,114.98,192360
672,26,second chance,shinedown,2009,86,234,True,0.156,0.016,0.9863,0.632,0CwYG1UnRmOx8Q1EzElCIL,0.46,0.796,0,-4.501,0,0.0333,0.00107,0.0,0.106,0.182,100.011,222067
673,49,turnin me on,keri hilson featuring lil wayne,2009,197,552,True,0.207,0.049,0.998,0.643,1jEtDqwYCKpR0mlrMrrITx,0.67,0.582,1,-4.767,1,0.0672,0.00329,3.67e-06,0.174,0.0942,159.937,247800
674,24,halo,beyonce,2009,111,405,True,0.096,0.033,0.9731,0.726,unknown,,,,,,,,,,,,
675,23,my life would suck without you,kelly clarkson,2009,87,210,False,0.254,0.153,0.9776,0.586,4Dm32oO01YpIubCHaAtKkN,0.526,0.882,9,-4.006,1,0.0509,0.0014,0.0,0.144,0.424,144.982,211493
676,22,best i ever had,drake,2009,237,802,True,0.217,0.026,0.9995,0.704,3fyMH1t6UPeR5croea9PrR,0.427,0.861,1,-4.874,1,0.376,0.219,0.0,0.277,0.581,161.776,257760
677,21,the climb,miley cyrus,2009,122,273,True,0.089,0.09,0.1352,0.553,0V8FYVlBFuXXTIvRnMbZyS,0.327,0.588,4,-6.611,1,0.0336,0.0834,0.0,0.104,0.329,161.074,236067
678,20,down,jay sean featuring lil wayne,2009,118,369,True,0.118,0.099,0.9288,0.68,7LP4Es66zdY7CyjepqmvAg,0.663,0.693,11,-4.505,0,0.0311,0.0149,0.0,0.0778,0.71,66.002,212107
679,19,kiss me thru the phone,soulja boy tell em featuring sammie,2009,103,504,True,0.24,0.048,0.999,0.796,2q4rjDy9WhaN3o9MvDbO21,0.761,0.724,7,-3.818,1,0.111,0.0175,0.0,0.116,0.815,149.936,193387
680,18,live your life,ti featuring rihanna,2009,296,888,True,0.079,0.075,-0.2402,0.667,3jlbL2OTD5YmIunYzgQTAN,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841,338853
681,25,hot n cold,katy perry,2009,96,377,False,0.137,0.174,-0.8453,0.745,1y4eb6hmAvsqlDOl3fx9kk,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227
682,16,blame it,jamie foxx featuring tpain,2009,202,757,True,0.066,0.214,-0.9989,0.733,08uGhvS5MfBk7crUCpnjva,0.673,0.614,7,-5.426,1,0.103,0.0782,0.0,0.139,0.362,176.052,289747
683,15,knock you down,keri hilson featuring kanye west and neyo,2009,257,655,False,0.17,0.088,0.9972,0.608,58FUwmyGUqkt53YPUcm7cJ,0.593,0.883,8,-4.781,1,0.186,0.0124,0.0,0.177,0.671,155.171,326187
684,14,use somebody,kings of leon,2009,60,130,True,0.206,0.025,0.9705,0.538,5VGlqQANWDKJFl0MBG3sg2,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760
685,13,you found me,the fray,2009,102,286,True,0.025,0.196,-0.9953,0.643,4IoYz8XqqdowINzfRrFnhi,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,241853
